Deliverable 1
Alpha: 0.0
Lambda,Income,Limit,Rating,Cards,Age,Education,Gender,Student,Married,Fold Number,MSE
1.0,-285.90977613001405,474.6693398777081,162.4583691166147,24.73371507525596,-9.982230635825456,-2.8973148586965256,-0.658215621534325,128.68529524182242,-2.9511068016028257,1,11111.502565961022
1.0,-263.38262735647544,392.010289561301,211.5057101771637,25.1504058922217,-13.835187958146555,-3.1199092517494305,-8.448871463035303,130.31140734616284,-5.769213159323469,2,10258.813056805604
1.0,-268.66765422018625,409.886762022315,201.32682671067667,23.093785094427545,-15.071612748770137,-2.809078863008381,-6.480774107666296,133.5532844765557,-0.6479624641565842,3,8827.969659536953
1.0,-278.7635108565567,391.93370106715616,225.2857899556408,20.220096689924976,-8.998636088449548,-1.3191061111157378,-4.863534927206195,116.68408947326517,-6.675672180097548,4,8735.426535010247
CV: ,49934.06724143498,Lambda: ,1.0,Alpha: ,0.2
10.0,-262.50940966318717,330.85408928936704,264.22093642520645,19.48881977898742,-7.225763267632645,-5.820610897233139,-4.874599372419035,126.16832299525859,-2.7258966519598564,0,11071.17828096773
10.0,-277.4255641903003,365.49014752502643,263.12428138889857,20.890752722294778,-10.540371913307645,-2.224113154725079,-0.7674894827606927,126.86113521481929,-3.534331439361441,1,10857.235401184676
10.0,-255.56331314168446,326.33439215577897,269.5124860542337,22.467937270060407,-14.586087590832228,-2.555612300780676,-8.141414033124313,129.18567386371348,-6.522324442520965,2,10577.997567924514
10.0,-261.7530045504605,337.2459086805855,266.99440264318224,20.309145498193086,-15.641167844699673,-2.365455350459944,-6.182629469983717,132.36160595861247,-1.3102857183598375,3,8835.384941286338
10.0,-271.04168124204773,332.4177339225513,277.11044793551775,18.029238391155204,-9.625691332174293,-1.1259773855357507,-4.774593930880766,115.44576709541532,-7.26429696894484,4,8895.045984805536
CV: ,50236.84217616879,Lambda: ,10.0,Alpha: ,0.2
100.0,-199.18390217016795,268.67039433575434,262.01771448761974,21.958772857104897,-10.634375106845937,-3.7692077298963986,-1.9823925685620245,116.2580898956665,-1.6109422739063952,0,13710.837418049423
100.0,-205.144226741464,284.51505223107256,270.0633876754244,22.045536344881913,-13.624133377688864,-1.840850973551446,0.7453192433006003,116.9556818027592,-4.475782884626439,1,13033.358450870754
100.0,-194.49884797220335,269.0395712013385,264.00441488469465,22.219352664978945,-18.7428077030676,-0.15059080067324873,-6.41003227225619,121.5451233977614,-8.227851539588015,2,14272.341012571957
100.0,-202.05226582772102,276.68035877034595,266.4054169482267,20.2725993194196,-20.59872568744724,-1.1963441122865588,-3.2743504081240293,124.34851903873249,-2.9741672097349947,3,10059.85367699671
100.0,-207.12998838979763,275.87359353808876,267.9845947072218,18.208138403755274,-13.202946847061265,-1.6017654921530737,-3.7191532584985763,107.09103492893918,-8.138909260647305,4,11288.663823644209
CV: ,62365.05438213306,Lambda: ,100.0,Alpha: ,0.2
